HDI Rank,Country,Human Development Index (1990),Human Development Index (2000),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Human Development Index (HDI),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank,Years of Education Deficit,Gender Development Index (GDI),GDI Grouped by Colors,YED Grouped by markers,Lat,Lon
187.0,Central African Republic,0.314,0.310,0.36200000000000004,0.368,0.373,0.348,0.35,0.35,0.9714285714285715,7.2,4.2,581.0,1.0,3.0,0.6435506241331483,olive,+,7.0323598,19.9981227
176.0,Congo (Democratic Republic of the),0.355,0.329,0.408,0.418,0.423,0.43,0.433,0.433,0.9428571428571431,9.8,6.0,680.0,11.0,3.8000000000000007,0.726768377253814,gray,*,-0.7264327,15.6419155
173.0,Malawi,0.284,0.340,0.42,0.429,0.433,0.439,0.445,0.445,0.9057142857142857,10.8,4.3,747.0,13.0,6.500000000000001,0.8294036061026353,gray,^,-13.2687204,33.9301963
184.0,Burundi,0.295,0.301,0.39,0.392,0.395,0.397,0.4,0.4,0.7228571428571429,10.1,2.7,758.0,1.0,7.3999999999999995,0.8349514563106797,gray,1,-3.4264997,29.932395
177.0,Liberia,0,0.359,0.405,0.414,0.419,0.424,0.43,0.43,0.9542857142857146,9.5,4.1,805.0,7.0,5.4,0.6657420249653261,olive,d,5.7499721,-9.3658524
188.0,Niger,0.214,0.257,0.326,0.33299999999999996,0.342,0.345,0.348,0.348,0.9342857142857142,5.4,1.5,908.0,-5.0,3.9000000000000004,0.5825242718446602,olive,*,17.7356214,9.3238432
182.0,Guinea,0,0.323,0.38799999999999996,0.39899999999999997,0.409,0.41100000000000003,0.41100000000000003,0.41100000000000003,0.9314285714285715,8.7,2.4,1096.0,0.0,6.299999999999999,0.6504854368932038,olive,^,10.7226226,-10.7083587
180.0,Mozambique,0.218,0.300,0.401,0.405,0.408,0.413,0.41600000000000004,0.41600000000000004,0.9228571428571426,9.3,3.2,1123.0,1.0,6.1000000000000005,0.7933425797503468,gray,^,-19.302233,34.9144977
186.0,Eritrea,0,0,0.381,0.386,0.39,0.39,0.391,0.391,1.0,4.1,3.9,1130.0,-6.0,0.19999999999999973,0.3,red,o,15.9500319,37.9999668
162.0,Togo,0.404,0.426,0.45899999999999996,0.46799999999999997,0.47,0.473,0.484,0.484,0.9542857142857146,12.2,4.5,1228.0,17.0,7.699999999999999,0.7239944521497921,gray,1,8.7800265,1.0199765
154.0,Madagascar,0,0.456,0.504,0.505,0.507,0.508,0.51,0.51,0.794285714285714,10.3,6.0,1328.0,24.0,4.300000000000001,0.8821081830790567,cyan,x,-18.9249604,46.4416422
