HDI Rank,Country,Human Development Index (1990),Human Development Index (2000),Human Development Index (2010),Human Development Index (2011),Human Development Index (2012),Human Development Index (2013),Human Development Index (2014),Human Development Index (HDI),Life Expectancy at Birth,Expected Years of Education,Mean Years of Education,Gross National Income (GNI) per Capita,GNI per Capita Rank Minus HDI Rank,Years of education deficit,Gender Development Index (GDI)
1.0,Norway,0.849,0.917,0.94,0.941,0.9420000000000001,0.9420000000000001,0.9440000000000001,0.9440000000000001,81.6,17.5,12.6,"64,992",5.0,4.9,0.996
2.0,Australia,0.865,0.898,0.927,0.93,0.932,0.9329999999999999,0.935,0.935,82.4,20.2,13.0,"42,261",17.0,7.199999999999999,0.976
3.0,Switzerland,0.831,0.888,0.924,0.925,0.927,0.9279999999999999,0.93,0.93,83.0,15.8,12.8,"56,431",6.0,3.0,0.95
4.0,Denmark,0.799,0.862,0.9079999999999999,0.92,0.9209999999999999,0.9229999999999999,0.9229999999999999,0.9229999999999999,80.2,18.7,12.7,"44,025",11.0,6.0,0.977
5.0,Netherlands,0.829,0.877,0.909,0.919,0.92,0.92,0.922,0.922,81.6,17.9,11.9,"45,435",9.0,5.999999999999998,0.947
6.0,Germany,0.801,0.855,0.9059999999999999,0.9109999999999999,0.915,0.915,0.9159999999999999,0.9159999999999999,80.9,16.5,13.1,"43,919",11.0,3.4000000000000004,0.963
6.0,Ireland,0.770,0.861,0.9079999999999999,0.909,0.91,0.912,0.9159999999999999,0.9159999999999999,80.9,18.6,12.2,"39,568",16.0,6.400000000000002,0.973
8.0,United States,0.859,0.883,0.909,0.9109999999999999,0.912,0.9129999999999999,0.915,0.915,79.1,16.5,12.9,"52,947",3.0,3.5999999999999996,0.995
9.0,Canada,0.849,0.867,0.903,0.909,0.91,0.912,0.9129999999999999,0.9129999999999999,82.0,15.9,13.0,"42,155",11.0,2.9000000000000004,0.982
9.0,New Zealand,0.820,0.874,0.905,0.907,0.909,0.9109999999999999,0.9129999999999999,0.9129999999999999,81.8,19.2,12.5,"32,689",23.0,6.699999999999999,0.961
11.0,Singapore,0.718,0.819,0.897,0.903,0.905,0.909,0.912,0.912,83.0,15.4,10.6,"76,628",-7.0,4.800000000000001,0.985
12.0,"Hong Kong, China (SAR)",0.781,0.825,0.898,0.902,0.9059999999999999,0.9079999999999999,0.91,0.91,84.0,15.6,11.2,"53,959",-2.0,4.4,0.958
13.0,Liechtenstein,..,..,0.902,0.903,0.9059999999999999,0.907,0.9079999999999999,0.9079999999999999,80.0,15.0,11.8,"79,851",-10.0,3.1999999999999993,0.0
14.0,Sweden,0.815,0.897,0.9009999999999999,0.903,0.904,0.905,0.907,0.907,82.2,15.8,12.1,"45,636",-1.0,3.700000000000001,0.999
14.0,United Kingdom,0.773,0.865,0.9059999999999999,0.9009999999999999,0.9009999999999999,0.902,0.907,0.907,80.7,16.2,13.1,"39,267",9.0,3.0999999999999996,0.965
16.0,Iceland,0.802,0.859,0.892,0.8959999999999999,0.897,0.899,0.899,0.899,82.6,19.0,10.6,"35,182",12.0,8.4,0.975
17.0,Korea (Republic of),0.731,0.821,0.8859999999999999,0.8909999999999999,0.893,0.895,0.898,0.898,81.9,16.9,11.9,"33,890",13.0,4.999999999999998,0.93
18.0,Israel,0.785,0.850,0.883,0.888,0.89,0.893,0.894,0.894,82.4,16.0,12.5,"30,676",16.0,3.5,0.971
19.0,Luxembourg,0.779,0.851,0.8859999999999999,0.888,0.888,0.89,0.892,0.892,81.7,13.9,11.7,"58,711",-11.0,2.200000000000001,0.971
20.0,Japan,0.814,0.857,0.884,0.8859999999999999,0.888,0.89,0.8909999999999999,0.8909999999999999,83.5,15.3,11.5,"36,927",7.0,3.8000000000000007,0.961
21.0,Belgium,0.806,0.874,0.883,0.8859999999999999,0.889,0.888,0.89,0.89,80.8,16.3,11.3,"41,187",0.0,5.0,0.975
22.0,France,0.779,0.848,0.8809999999999999,0.884,0.8859999999999999,0.887,0.888,0.888,82.2,16.0,11.1,"38,056",4.0,4.9,0.987
23.0,Austria,0.794,0.836,0.879,0.8809999999999999,0.884,0.884,0.885,0.885,81.4,15.7,10.8,"43,869",-5.0,4.899999999999999,0.943
24.0,Finland,0.783,0.857,0.878,0.8809999999999999,0.882,0.882,0.883,0.883,80.8,17.1,10.3,"38,695",0.0,6.800000000000001,0.996
25.0,Slovenia,0.766,0.824,0.8759999999999999,0.877,0.878,0.878,0.88,0.88,80.4,16.8,11.9,"27,852",12.0,4.9,0.996
26.0,Spain,0.756,0.827,0.867,0.87,0.8740000000000001,0.8740000000000001,0.8759999999999999,0.8759999999999999,82.6,17.3,9.6,"32,045",7.0,7.700000000000001,0.975
27.0,Italy,0.766,0.829,0.8690000000000001,0.873,0.872,0.873,0.873,0.873,83.1,16.0,10.1,"33,030",4.0,5.9,0.964
28.0,Czech Republic,0.761,0.821,0.863,0.866,0.867,0.868,0.87,0.87,78.6,16.4,12.3,"26,660",10.0,4.099999999999998,0.98
29.0,Greece,0.759,0.799,0.866,0.8640000000000001,0.865,0.863,0.865,0.865,80.9,17.6,10.3,"24,524",14.0,7.300000000000001,0.961
30.0,Estonia,0.726,0.780,0.838,0.8490000000000001,0.855,0.8590000000000001,0.861,0.861,76.8,16.5,12.5,"25,214",12.0,4.0,1.03
31.0,Brunei Darussalam,0.782,0.819,0.843,0.847,0.852,0.852,0.856,0.856,78.8,14.5,8.8,"72,570",-26.0,5.699999999999999,0.977
32.0,Cyprus,0.733,0.800,0.848,0.852,0.852,0.85,0.85,0.85,80.2,14.0,11.6,"28,633",3.0,2.4000000000000004,0.971
32.0,Qatar,0.754,0.809,0.8440000000000001,0.841,0.848,0.8490000000000001,0.85,0.85,78.2,13.8,9.1,"123,124",-31.0,4.700000000000001,0.998
34.0,Andorra,..,..,0.823,0.821,0.8440000000000001,0.8440000000000001,0.845,0.845,81.3,13.5,9.6,"43,978",-18.0,3.9000000000000004,0.0
35.0,Slovakia,0.738,0.763,0.8270000000000001,0.8320000000000001,0.836,0.8390000000000001,0.8440000000000001,0.8440000000000001,76.3,15.1,12.2,"25,845",5.0,2.9000000000000004,0.999
36.0,Poland,0.713,0.786,0.8290000000000001,0.833,0.838,0.84,0.843,0.843,77.4,15.5,11.8,"23,177",10.0,3.6999999999999993,1.007
37.0,Lithuania,0.730,0.754,0.8270000000000001,0.831,0.833,0.8370000000000001,0.8390000000000001,0.8390000000000001,73.3,16.4,12.4,"24,500",7.0,3.9999999999999982,1.03
37.0,Malta,0.729,0.766,0.8240000000000001,0.8220000000000001,0.83,0.8370000000000001,0.8390000000000001,0.8390000000000001,80.6,14.4,10.3,"27,930",-1.0,4.1,0.937
39.0,Saudi Arabia,0.690,0.744,0.805,0.816,0.826,0.836,0.8370000000000001,0.8370000000000001,74.3,16.3,8.7,"52,821",-27.0,7.600000000000001,0.901
40.0,Argentina,0.705,0.762,0.8109999999999999,0.818,0.831,0.833,0.836,0.836,76.3,17.9,9.8,"22,050",11.0,8.099999999999998,0.982
41.0,United Arab Emirates,0.726,0.797,0.828,0.8290000000000001,0.831,0.833,0.835,0.835,77.0,13.3,9.5,"60,868",-34.0,3.8000000000000007,0.954
42.0,Chile,0.699,0.752,0.8140000000000001,0.821,0.8270000000000001,0.83,0.8320000000000001,0.8320000000000001,81.7,15.2,9.8,"21,290",11.0,5.399999999999999,0.967
43.0,Portugal,0.710,0.782,0.8190000000000001,0.825,0.8270000000000001,0.828,0.83,0.83,80.9,16.3,8.2,"25,757",-2.0,8.100000000000001,0.985
44.0,Hungary,0.703,0.769,0.821,0.823,0.823,0.825,0.828,0.828,75.2,15.4,11.6,"22,916",3.0,3.8000000000000007,0.976
45.0,Bahrain,0.746,0.794,0.8190000000000001,0.8170000000000001,0.8190000000000001,0.821,0.8240000000000001,0.8240000000000001,76.6,14.4,9.4,"38,599",-20.0,5.0,0.94
46.0,Latvia,0.692,0.727,0.8109999999999999,0.812,0.813,0.816,0.8190000000000001,0.8190000000000001,74.2,15.2,11.5,"22,281",4.0,3.6999999999999993,1.029
